Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Others,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Others,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,Others,M
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E
Halo 2,XB,2004,Shooter,Microsofts,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,Others,M
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Others,E
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,Others,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,Electronic Arts,E
Final Fantasy X,PS2,2001,Role-Playing,Sony,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,Others,T
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0,0.6,8.01,86,75,7.6,886,Others,T
Final Fantasy VIII,PS,1999,Role-Playing,Others,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,Others,T
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Others,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Inc.,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,Others,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Others,M
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,5,398,Others,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Others,E
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0,0.69,7.38,84,84,7.6,580,Treyarch,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,Others,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,Others,E
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2,49,21,8,110,Others,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,Others,M
Fallout 4,PS4,2015,Role-Playing,Others,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Others,M
Tekken 3,PS,1998,Fighting,Sony,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Others,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,E
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,Others,T
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,Others,T
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.76,74,10,7.3,28,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Microsofts,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,Others,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,Others,T
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,Others,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,Others,T
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,E
Red Dead Redemption,PS3,2010,Action,Take-Two Inc.,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Others,M
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Others,E
Halo: Combat Evolved,XB,2001,Shooter,Microsofts,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,Others,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Others,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,Others,M
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Others,E
Kingdom Hearts,PS2,2002,Role-Playing,Sony,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,Others,E
Halo 3: ODST,X360,2009,Shooter,Microsofts,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,Others,M
Red Dead Redemption,X360,2010,Action,Take-Two Inc.,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,Others,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,Nintendo,E
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0,0,6.29,93,57,7.3,2182,Others,T
Driver,PS,1999,Action,Others,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Others,T
Gears of War 3,X360,2011,Shooter,Microsofts,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,Others,M
Kinect Sports,X360,2010,Sports,Microsofts,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,Others,E10+
Gears of War,X360,2006,Shooter,Microsofts,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Others,M
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,Others,M
Metal Gear Solid,PS,1998,Action,Konami,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,Others,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Others,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T
The Last of Us,PS3,2013,Action,Others,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Others,M
LittleBigPlanet,PS3,2008,Platform,Sony,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,Others,E
Resident Evil 2,PS,1998,Action,Others,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,Others,E10+
Tekken 2,PS,1996,Fighting,Sony,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,Others,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0,0.51,5.64,80,17,8.9,62,Trav. Tales,E10+
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Others,E
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft,M
Forza Motorsport 3,X360,2009,Racing,Microsofts,2.99,1.9,0.1,0.5,5.49,92,90,8,516,Others,E
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,Capcom,T
Batman: Arkham City,PS3,2011,Action,Wanrner Bros.,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Others,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Inc.,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Others,M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Others,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Others,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Trav. Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39,85,45,7.6,409,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Others,T
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,Square Enix,T
Final Fantasy IX,PS,2000,Role-Playing,Others,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,Others,T
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,Others,T
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Others,M
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft,M
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Others,T
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Others,E
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,Electronic Arts,E
Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0,0.54,5.14,88,86,4,9629,Others,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,Others,T
Guitar Hero II,PS2,2006,Misc,Others,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Others,T
Fable III,X360,2010,Role-Playing,Microsofts,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,Others,M
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,Capcom,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,E
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233,EA Sports,E
Resident Evil,PS,1996,Action,Others,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Inc.,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Others,M
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft,T
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,Others,T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,Nintendo,T
Fallout 3,X360,2008,Role-Playing,Others,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,Others,M
Uncharted: Drake's Fortune,PS3,2007,Action,Sony,2.31,1.72,0.12,0.77,4.92,88,66,8.1,2306,Others,T
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,29,8,121,EA Sports,E
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0,0.58,4.84,93,82,8.2,3052,Others,T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82,81,40,7.3,769,Ubisoft,M
God of War III,PS3,2010,Action,Sony,2.74,1.33,0.12,0.61,4.8,92,101,8.7,2633,Others,M
Crash Team Racing,PS,1999,Racing,Sony,2.57,1.57,0.44,0.21,4.79,88,20,9,233,Others,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0,0.45,4.76,80,9,5.4,46,Others,E
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,Others,T
Batman: Arkham City,X360,2011,Action,Wanrner Bros.,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1472,Others,T
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,Neversoft,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82,32,8.2,78,Others,T
Tomb Raider,PS,1996,Action,Eidos,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,Others,T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,Nintendo,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Others,T
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96,80,8.9,968,Nintendo,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0,0.43,4.6,86,36,8.4,87,Vicarious Visions,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86,74,8.4,458,Others,E
Forza Motorsport 4,X360,2011,Racing,Microsofts,2.08,1.97,0.06,0.46,4.57,91,83,8.2,617,Others,E
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91,30,7.9,78,EA Tiburon,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85,69,7.9,165,Neversoft,T
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,EA Sports,E
Halo 5: Guardians,XOne,2015,Shooter,Microsofts,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,Others,T
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,Treyarch,E
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2,0.15,0.71,4.46,77,82,3.4,1129,Others,M
God of War,PS2,2005,Action,Sony,2.71,1.29,0.02,0.43,4.45,94,75,8.9,997,Others,M
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,Nintendo,E10+
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,Nintendo,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298,Neversoft,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami,0.1,2.39,1.05,0.86,4.39,86,19,8.9,33,Konami,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Inc.,2.82,1.03,0.13,0.4,4.38,94,90,8.7,1109,Others,M
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82,36,9.1,137,EA Canada,T
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56,37,8.3,31,Others,E10+
Resistance: Fall of Man,PS3,2006,Shooter,Sony,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,Others,M
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix,E10+
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,Nintendo,E
Fable II,X360,2008,Role-Playing,Microsofts,2.51,1.24,0.11,0.41,4.27,89,95,6.5,2423,Others,M
Namco Museum,GBA,2001,Misc,Namco Bandai,3,1.11,0.05,0.07,4.24,79,10,7.3,6,Others,E
Batman: Arkham Asylum,PS3,2009,Action,Eidos,2.24,1.31,0.07,0.61,4.23,91,70,8.9,1122,Others,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami,1.46,0,0.83,1.93,4.23,91,68,9.3,955,Others,M
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80,39,7.5,613,Ubisoft,M
Fallout 4,XOne,2015,Role-Playing,Others,2.51,1.32,0.01,0.38,4.22,88,39,6.2,1749,Others,M
FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84,41,4.2,435,EA Canada,E
Daxter,PSP,2006,Platform,Sony,2.45,1.01,0,0.75,4.21,85,59,8.7,109,Others,E10+
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80,32,7.8,47,EA Canada,E
EyeToy Play,PS2,2003,Misc,Sony,0.88,2.3,0.2,0.83,4.2,80,32,7.5,22,Others,E
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony,1.28,1.82,0.57,0.52,4.19,80,67,7.1,120,Others,E
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80,77,7.2,564,Ubisoft,M
Street Fighter IV,PS3,2009,Fighting,Capcom,2.03,1.04,0.58,0.52,4.16,94,61,7.3,330,Capcom,T
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95,25,7.7,65,EA Sports,E
Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0,0.09,0,4.12,96,24,9.1,3161,Others,M
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09,91,46,7.9,785,Others,T
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88,31,8.4,809,Others,M
God of War II,PS2,2007,Action,Sony,2.32,0.04,0.04,1.67,4.07,93,70,8.9,709,Others,M
Fallout: New Vegas,X360,2010,Role-Playing,Others,2.66,1.03,0.04,0.33,4.05,84,81,8.1,769,Others,M
Forza Motorsport 2,X360,2007,Racing,Microsofts,2.35,1.27,0.03,0.41,4.05,90,66,8.3,381,Others,E
Carnival Games,Wii,2007,Misc,Take-Two Inc.,2.12,1.47,0.05,0.42,4.05,56,27,6,44,Others,E
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80,80,6.3,2996,Ubisoft,M
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai,1.68,1.51,0.51,0.35,4.05,85,25,8.5,117,Namco,T
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85,83,7.7,1653,Ubisoft,M
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.87,0.05,0.38,3.97,89,76,8.6,681,Others,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,Others,M
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,Others,M
Batman: Arkham Knight,PS4,2015,Action,Wanrner Bros.,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,Others,M
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93,81,8,1958,Nintendo,E10+
Fallout 3,PS3,2008,Role-Playing,Others,2.15,1.13,0.07,0.59,3.94,90,57,8,910,Others,M
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94,84,65,8.8,72,Others,E10+
EA Sports Active,Wii,2009,Sports,Electronic Arts,2.09,1.35,0.06,0.4,3.9,81,27,8.7,39,EA Canada,E
